,rok,měsíc,den,T-AVG,TMA,TMI,SRA,Flag
336,1775,12,3,-0.9,0.6,-2.7,,
337,1775,12,4,3.9,6.2,-1.2,,
338,1775,12,5,5.1,6.1,3.8,,
339,1775,12,6,4.3,5.3,3.5,,
340,1775,12,7,4.4,5.0,3.8,,
341,1775,12,8,2.8,4.4,1.6,,
342,1775,12,9,2.5,4.0,0.8,,
343,1775,12,10,-3.1,2.3,-4.0,,
344,1775,12,11,0.5,2.9,-4.3,,
345,1775,12,12,2.1,3.8,0.5,,
346,1775,12,13,1.5,2.8,-0.7,,
347,1775,12,14,2.2,3.3,1.5,,
348,1775,12,15,-1.2,1.7,-2.7,,
349,1775,12,16,-3.5,-2.4,-4.6,,
350,1775,12,17,-2.5,-1.0,-5.8,,
351,1775,12,18,0.3,0.9,-1.1,,
352,1775,12,19,1.5,2.3,0.8,,
353,1775,12,20,-2.6,1.3,-4.8,,
354,1775,12,21,-5.8,-3.3,-7.0,,
355,1775,12,22,-5.3,-3.8,-9.0,,
356,1775,12,23,-0.1,5.5,-4.0,,
357,1775,12,24,6.0,6.8,2.8,,
358,1775,12,25,4.8,6.3,4.0,,
359,1775,12,26,5.1,6.4,3.8,,
360,1775,12,27,2.9,4.5,2.1,,
361,1775,12,28,2.2,2.8,1.5,,
362,1775,12,29,0.6,2.2,0.0,,
363,1775,12,30,-0.9,0.4,-1.6,,
364,1775,12,31,-1.0,0.5,-2.4,,
365,1776,1,1,-3.5,-1.2,-4.3,,
366,1776,1,2,-4.3,-3.1,-7.0,,
367,1776,1,3,-4.9,-2.8,-7.0,,
368,1776,1,4,-6.8,-5.5,-7.8,,
369,1776,1,5,-3.7,-2.6,-7.3,,
370,1776,1,6,-3.8,-2.5,-4.7,,
371,1776,1,7,-3.6,-2.6,-5.3,,
372,1776,1,8,-1.9,0.0,-4.2,,
373,1776,1,9,-1.5,-0.9,-3.2,,
374,1776,1,10,-0.3,0.0,-1.0,,
375,1776,1,11,0.1,2.2,-1.0,,
376,1776,1,12,-0.7,0.5,-1.4,,
377,1776,1,13,-2.9,-0.9,-3.8,,
378,1776,1,14,-5.5,-3.4,-6.6,,
379,1776,1,15,-8.9,-6.2,-10.4,,
380,1776,1,16,-7.1,-6.0,-10.4,,
381,1776,1,17,-4.9,-3.5,-6.3,,
382,1776,1,18,-9.5,-5.0,-12.1,,
383,1776,1,19,-15.7,-11.0,-18.2,,
384,1776,1,20,-18.5,-15.7,-19.6,,
385,1776,1,21,-14.2,-10.0,-19.6,,
386,1776,1,22,-8.2,-4.8,-14.0,,
387,1776,1,23,-7.3,-5.2,-11.8,,
388,1776,1,24,-7.2,-4.5,-9.3,,
389,1776,1,25,-9.7,-7.0,-11.0,,
390,1776,1,26,-13.7,-9.3,-16.6,,
391,1776,1,27,-16.2,-13.6,-18.9,,
392,1776,1,28,-17.4,-14.4,-22.7,,
393,1776,1,29,-18.0,-14.1,-22.0,,
394,1776,1,30,-17.3,-14.3,-19.2,,
395,1776,1,31,-15.2,-9.8,-20.8,,
396,1776,2,1,-18.0,-14.4,-21.5,,
397,1776,2,2,-13.9,-9.8,-20.7,,
398,1776,2,3,-5.1,-3.7,-13.3,,
399,1776,2,4,-0.2,2.2,-3.8,,
400,1776,2,5,4.9,6.6,2.0,,
401,1776,2,6,5.4,8.0,2.7,,
402,1776,2,7,5.1,7.4,2.7,,
403,1776,2,8,4.2,5.7,2.7,,
404,1776,2,9,5.4,6.2,3.8,,
405,1776,2,10,5.8,7.4,4.6,,
406,1776,2,11,7.5,10.2,3.3,,
407,1776,2,12,6.4,9.1,2.7,,
408,1776,2,13,3.7,7.0,2.3,,
409,1776,2,14,5.9,7.4,2.6,,
410,1776,2,15,6.3,8.5,3.7,,
411,1776,2,16,6.0,8.5,2.1,,
412,1776,2,17,4.3,6.7,2.9,,
413,1776,2,18,4.0,6.2,2.1,,
414,1776,2,19,5.3,8.0,1.6,,
415,1776,2,20,4.5,6.4,3.3,,
416,1776,2,21,5.5,6.7,3.4,,
417,1776,2,22,5.6,7.0,3.0,,
418,1776,2,23,4.7,6.6,1.8,,
419,1776,2,24,4.0,5.9,2.6,,
420,1776,2,25,5.4,7.0,2.1,,
421,1776,2,26,6.5,8.1,3.3,,
422,1776,2,27,9.8,13.1,7.3,,
423,1776,2,28,9.5,12.6,6.0,,
424,1776,2,29,8.4,11.4,6.1,,
425,1776,3,1,6.1,8.1,4.1,,
426,1776,3,2,5.4,7.3,3.7,,
427,1776,3,3,2.6,5.3,1.2,,
428,1776,3,4,2.6,6.4,0.2,,
429,1776,3,5,1.0,2.9,-0.3,,
430,1776,3,6,3.7,6.1,0.7,,
431,1776,3,7,3.8,5.0,0.8,,
432,1776,3,8,4.2,6.9,0.5,,
433,1776,3,9,6.5,9.1,2.6,,
434,1776,3,10,7.3,9.6,4.6,,
435,1776,3,11,8.7,12.1,4.5,,
436,1776,3,12,5.1,9.0,3.0,,
437,1776,3,13,6.4,11.4,0.3,,
438,1776,3,14,7.4,11.0,2.5,,
439,1776,3,15,7.7,10.0,4.8,,
440,1776,3,16,6.9,8.1,5.7,,
441,1776,3,17,6.4,9.1,2.9,,
442,1776,3,18,5.2,12.3,-0.6,,
443,1776,3,19,6.0,9.8,0.5,,
444,1776,3,20,6.3,9.6,3.4,,
445,1776,3,21,6.4,9.6,2.5,,
446,1776,3,22,6.2,9.7,0.3,,
447,1776,3,23,8.3,15.0,0.5,,
448,1776,3,24,8.3,17.5,3.8,,
449,1776,3,25,3.9,6.6,1.5,,
450,1776,3,26,3.8,7.8,-0.7,,
451,1776,3,27,5.3,9.7,-0.5,,
452,1776,3,28,6.3,10.8,0.2,,
453,1776,3,29,3.8,7.0,1.4,,
454,1776,3,30,2.1,4.2,-0.3,,
455,1776,3,31,5.5,6.6,0.5,,
456,1776,4,1,5.9,7.4,4.4,,
457,1776,4,2,3.9,6.3,1.9,,
458,1776,4,3,5.2,7.5,0.7,,
459,1776,4,4,5.7,6.1,4.7,,
460,1776,4,5,2.3,5.9,-0.3,,
461,1776,4,6,3.1,6.2,-1.7,,
462,1776,4,7,4.6,8.5,0.4,,
463,1776,4,8,4.1,6.7,-0.4,,
464,1776,4,9,5.5,8.1,1.0,,
465,1776,4,10,6.5,9.6,3.0,,
466,1776,4,11,7.1,10.2,3.1,,
467,1776,4,12,8.8,12.6,3.0,,
468,1776,4,13,7.1,9.9,5.1,,
469,1776,4,14,7.2,9.9,3.6,,
470,1776,4,15,11.7,15.3,6.1,,
471,1776,4,16,12.6,18.1,4.0,,
472,1776,4,17,13.0,19.1,4.6,,
473,1776,4,18,14.7,20.6,7.5,,
474,1776,4,19,16.6,22.1,10.0,,
475,1776,4,20,14.1,19.5,8.8,,
476,1776,4,21,12.7,14.5,10.9,,
477,1776,4,22,6.9,12.1,5.0,,
478,1776,4,23,9.3,13.1,4.0,,
479,1776,4,24,11.2,15.4,5.4,,
480,1776,4,25,10.9,15.0,6.6,,
481,1776,4,26,8.3,12.6,4.0,,
482,1776,4,27,9.2,14.2,4.5,,
483,1776,4,28,10.4,15.3,5.8,,
484,1776,4,29,9.1,13.5,4.0,,
485,1776,4,30,8.3,10.8,4.0,,
486,1776,5,1,7.2,10.2,4.0,,
487,1776,5,2,8.5,12.1,5.2,,
488,1776,5,3,9.1,11.5,6.0,,
489,1776,5,4,6.3,10.0,4.4,,
490,1776,5,5,9.2,13.5,4.2,,
491,1776,5,6,10.2,14.0,5.6,,
492,1776,5,7,10.3,13.9,7.1,,
493,1776,5,8,11.1,14.2,7.0,,
494,1776,5,9,12.0,15.0,8.0,,
495,1776,5,10,11.9,16.8,7.8,,
496,1776,5,11,13.4,16.6,9.1,,
497,1776,5,12,14.5,18.1,10.2,,
498,1776,5,13,17.4,23.3,9.6,,
499,1776,5,14,13.5,17.3,11.2,,
500,1776,5,15,13.8,18.0,9.2,,
501,1776,5,16,9.4,13.5,7.7,,
502,1776,5,17,11.0,14.2,7.1,,
503,1776,5,18,11.3,18.1,7.5,,
504,1776,5,19,16.8,22.1,7.7,,
505,1776,5,20,19.6,24.2,13.2,,
506,1776,5,21,13.4,20.2,9.8,,
507,1776,5,22,12.4,16.6,7.6,,
508,1776,5,23,8.6,12.8,7.4,,
509,1776,5,24,9.2,11.7,7.3,,
510,1776,5,25,8.9,11.1,5.6,,
511,1776,5,26,8.2,11.4,4.9,,
512,1776,5,27,12.2,15.8,7.2,,
513,1776,5,28,13.1,16.4,9.8,,
514,1776,5,29,11.7,17.1,6.0,,
515,1776,5,30,18.0,23.2,8.8,,
516,1776,5,31,17.5,22.1,11.5,,
517,1776,6,1,18.3,22.6,13.4,,
518,1776,6,2,19.0,22.7,13.8,,
519,1776,6,3,20.7,25.2,13.6,,
520,1776,6,4,22.4,26.3,15.3,,
521,1776,6,5,22.0,25.1,17.2,,
522,1776,6,6,18.0,22.1,15.0,,
523,1776,6,7,15.0,17.6,13.3,,
524,1776,6,8,14.9,17.7,11.5,,
525,1776,6,9,14.7,17.7,12.1,,
526,1776,6,10,16.9,19.7,12.0,,
527,1776,6,11,18.3,21.1,13.9,,
528,1776,6,12,21.0,25.5,13.2,,
529,1776,6,13,19.4,25.2,15.0,,
530,1776,6,14,17.4,20.1,14.3,,
531,1776,6,15,18.6,24.6,13.0,,
532,1776,6,16,19.3,22.4,13.8,,
533,1776,6,17,16.5,19.6,14.0,,
534,1776,6,18,16.2,19.0,13.2,,
535,1776,6,19,15.8,19.5,13.1,,
536,1776,6,20,16.7,18.7,13.1,,
537,1776,6,21,19.0,22.1,13.9,,
538,1776,6,22,20.8,25.6,14.8,,
539,1776,6,23,18.6,21.3,14.4,,
540,1776,6,24,18.1,22.5,14.1,,
541,1776,6,25,16.5,19.1,13.3,,
542,1776,6,26,15.3,18.5,12.1,,
543,1776,6,27,16.6,20.2,11.2,,
544,1776,6,28,18.9,22.6,14.2,,
545,1776,6,29,18.5,21.1,15.2,,
546,1776,6,30,11.9,18.8,10.1,,
547,1776,7,1,14.9,17.2,11.7,,
548,1776,7,2,15.5,18.2,11.8,,
549,1776,7,3,16.1,18.7,12.6,,
550,1776,7,4,15.5,18.2,11.8,,
551,1776,7,5,18.6,22.2,13.5,,
552,1776,7,6,20.9,25.6,14.2,,
553,1776,7,7,17.2,21.8,16.9,,
554,1776,7,8,20.5,23.2,16.3,,
555,1776,7,9,18.5,23.1,13.1,,
556,1776,7,10,20.0,25.6,13.0,,
557,1776,7,11,18.9,22.4,15.5,,
558,1776,7,12,20.2,23.2,15.8,,
559,1776,7,13,22.6,27.4,16.3,,
560,1776,7,14,19.1,23.0,15.9,,
561,1776,7,15,19.8,23.3,14.2,,
562,1776,7,16,21.9,27.2,17.3,,
563,1776,7,17,25.7,31.1,17.5,,
564,1776,7,18,21.2,26.5,19.2,,
565,1776,7,19,20.6,23.7,16.6,,
566,1776,7,20,23.5,26.7,19.0,,
567,1776,7,21,24.3,27.4,20.3,,
568,1776,7,22,21.7,27.8,18.2,,
569,1776,7,23,22.8,26.6,18.3,,
570,1776,7,24,21.9,27.8,18.6,,
